id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
5219ab4a,Jonathan Clauss,fr FRA,DF,Marseille,30-204,1992,22.5,81,3.59,59,3,5,11,0,3,11,0.49,9,0,0,1,0,1,Matches
3010aefb,Marcus Coco,fr FRA,"DF,FW",Nantes,26-297,1996,3.9,9,2.31,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
c4065f40,Alexandre Coeff,fr FRA,DF,Auxerre,31-056,1992,6.5,3,0.46,2,0,0,1,0,0,1,0.15,0,0,0,1,0,0,Matches
cfa49cc1,Abdu Conté,pt POR,DF,Troyes,25-024,1998,13.1,23,1.76,19,2,0,0,2,0,2,0.15,2,0,0,0,0,0,Matches
0e7ccfc4,Sébastien Corchia,fr FRA,DF,Nantes,32-167,1990,8.7,15,1.72,11,2,1,0,0,1,4,0.46,4,0,0,0,0,0,Matches
59948ef7,David Pereira da Costa,pt POR,"MF,FW",Lens,22-102,2001,15.4,60,3.90,48,1,6,3,1,1,7,0.45,6,0,1,0,0,0,Matches
bfb2056e,Logan Costa,cv CPV,"DF,MF",Toulouse,22-016,2001,1.6,1,0.62,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
909222de,Nuno da Costa,cv CPV,"FW,MF",Auxerre,32-066,1991,16.7,40,2.40,26,0,6,4,4,0,4,0.24,3,0,1,0,0,0,Matches
2434f24a,Benoît Costil,fr FRA,GK,Auxerre,35-288,1987,19.0,4,0.21,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
ef8ae23b,Mathieu Coutadeur,fr FRA,MF,Ajaccio,37-028,1986,17.6,24,1.36,22,1,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches
8f325097,Nicolas Cozza,fr FRA,DF,Montpellier,24-099,1999,14.2,18,1.27,15,0,1,1,1,0,2,0.14,2,0,0,0,0,0,Matches
1ec7e1c5,Damien Da Silva,fr FRA,DF,Lyon,34-335,1988,3.8,1,0.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29c02c9f,Colin Dagba,fr FRA,DF,Strasbourg,24-220,1998,7.9,19,2.41,16,2,0,0,1,0,2,0.25,2,0,0,0,0,0,Matches
b70afb45,Thijs Dallinga,nl NED,FW,Toulouse,22-257,2000,21.1,38,1.81,30,0,1,6,1,0,3,0.14,2,0,0,1,0,0,Matches
7ef972c3,Flavius Daniliuc,at AUT,DF,Nice,21-355,2001,1.0,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
e76f6fbe,Kévin Danois,fr FRA,MF,Auxerre,18-293,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6e33125f,Kevin Danso,at AUT,DF,Lens,24-210,1998,31.0,35,1.13,33,0,1,0,1,0,4,0.13,4,0,0,0,0,0,Matches
fd2bc67d,Dante,br BRA,DF,Nice,39-181,1983,29.7,21,0.71,18,0,0,3,0,0,2,0.07,2,0,0,0,0,0,Matches
5069b796,Achraf Dari,ma MAR,DF,Brest,23-346,1999,14.6,7,0.48,3,2,0,0,1,1,2,0.14,1,0,0,0,1,0,Matches
ce50fd99,Jonathan David,ca CAN,FW,Lille,23-093,2000,28.4,99,3.49,71,0,5,12,9,2,12,0.42,8,0,0,2,2,0,Matches
5fdcb075,Thibault De Smet,be BEL,DF,Reims,24-316,1998,16.2,18,1.11,16,2,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
4ca4f601,Brecht Dejaegere,be BEL,MF,Toulouse,31-323,1991,18.0,42,2.34,34,0,4,2,2,0,6,0.33,4,0,1,1,0,0,Matches
0be95d34,Romain Del Castillo,fr FRA,"MF,FW",Brest,27-019,1996,12.4,54,4.36,32,13,3,3,2,1,12,0.97,7,3,1,0,1,0,Matches
8332db56,Thomas Delaine,fr FRA,DF,Strasbourg,31-024,1992,10.4,20,1.93,16,0,2,0,0,2,4,0.39,4,0,0,0,0,0,Matches
e4448c8c,Sacha Delaye,fr FRA,"FW,MF",Montpellier,20-359,2002,0.2,2,9.00,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
d33c706e,Andy Delort,dz ALG,FW,Nice,31-190,1991,8.7,21,2.42,19,0,0,2,0,0,2,0.23,2,0,0,0,0,0,Matches
d33c706e,Andy Delort,dz ALG,FW,Nantes,31-190,1991,4.0,10,2.47,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
7304f3b1,Karamoko Dembele,sct SCO,"FW,MF",Brest,20-054,2003,1.8,7,3.87,4,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
e7986081,Moussa Dembélé,fr FRA,"FW,MF",Lyon,26-279,1996,9.6,14,1.46,12,0,1,0,0,1,2,0.21,2,0,0,0,0,0,Matches
11f54bd5,Siriki Dembélé,ci CIV,MF,Auxerre,26-222,1996,3.3,10,3.04,7,0,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99d660b2,Branco van den Boomen,nl NED,MF,Toulouse,27-270,1995,29.1,137,4.70,76,49,0,9,3,0,21,0.72,15,3,0,3,0,0,Matches
