id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
7391c2d9,14,1179,13,13,13,1,8,0,9,18,-9,10.6,19.4,-8.9,0,0,0,0
73d9bdc7,31,1567,17,14,10,17,4,0,18,27,-9,20.4,31.8,-11.4,0,0,0,0
7494bea9,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
74b2cd7e,32,2880,32,32,32,0,5,1,43,60,-17,32.0,49.5,-17.5,0,0,0,0
74e12f1e,38,3420,38,38,38,0,0,1,36,39,-3,32.3,51.2,-18.9,0,0,0,0
7527558b,28,1540,17,16,8,12,3,1,20,31,-11,20.8,26.4,-5.7,0,0,0,0
758dd7f0,21,1758,19,20,18,1,17,0,17,31,-14,16.5,32.4,-15.9,0,0,0,0
75f2c59f,32,1624,18,18,6,14,0,1,23,34,-11,22.8,24.1,-1.3,0,0,0,0
76b5cbbd,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
76c131da,9,229,2,2,0,7,10,4,2,2,0,2.1,2.6,-0.6,0,0,0,0
76dd1480,27,2259,25,25,20,2,2,1,31,40,-9,26.3,37.5,-11.3,0,0,0,0
76eca7e2,27,2430,27,27,27,0,9,1,29,41,-12,35.9,36.8,-0.9,2430,27,27,27
76fa5f80,1,71,0,1,0,0,16,0,0,2,-2,0.2,1.0,-0.7,0,0,0,0
78549904,0,0,0,0,0,0,35,0,0,0,0,0.0,0.0,0.0,0,0,0,0
78803d03,25,2016,22,23,19,2,10,1,16,23,-7,18.6,28.6,-10.1,0,0,0,0
78b8ac63,11,276,3,2,0,9,2,0,3,5,-2,3.3,5.3,-2.0,0,0,0,0
7914b9fe,27,2086,23,24,22,3,7,1,35,24,11,33.5,22.5,11.0,0,0,0,0
7a11550b,23,1902,21,21,21,2,6,1,47,22,25,41.1,18.6,22.5,0,0,0,0
7a1f2c08,12,442,4,4,4,8,17,1,3,6,-3,6.2,6.9,-0.7,0,0,0,0
7ad65188,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
7b4de647,38,3420,38,38,38,0,0,1,45,61,-16,38.8,59.2,-20.4,3420,38,38,38
7ba6d84e,37,3330,37,37,37,0,0,2,67,28,39,55.3,40.1,15.2,3330,37,37,37
7bb5f40e,30,2093,23,23,13,7,1,0,24,32,-8,23.1,26.2,-3.1,0,0,0,0
7bc34048,17,1243,13,14,10,3,5,0,10,27,-17,11.9,22.0,-10.1,0,0,0,0
7c104bb7,7,159,1,1,0,6,10,1,7,6,1,3.7,3.6,0.1,0,0,0,0
7c2a398c,3,198,2,3,1,0,0,1,4,3,1,4.4,3.8,0.6,0,0,0,0
7c4243d4,11,754,8,9,4,2,9,0,4,16,-12,6.3,13.2,-7.0,0,0,0,0
7ca2d989,1,90,1,1,1,0,37,1,1,1,0,0.2,1.3,-1.1,90,1,1,1
7ca9f0f0,2,46,0,0,0,2,4,0,0,0,0,0.4,0.4,0.0,0,0,0,0
7d2d3329,8,378,4,4,2,4,0,0,6,9,-3,6.8,5.8,1.0,0,0,0,0
7d41b619,25,1856,20,20,19,5,11,1,20,29,-9,19.3,31.5,-12.3,0,0,0,0
7dbbe367,25,1923,21,22,16,3,0,0,20,35,-15,21.9,26.4,-4.5,0,0,0,0
7edfbb8a,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
7ef24097,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
7f4f3e49,35,2596,28,30,19,5,0,0,29,49,-20,26.9,43.6,-16.8,0,0,0,0
7fe90ccd,22,1098,12,12,5,10,9,2,21,15,6,21.7,11.6,10.1,0,0,0,0
7fec31a0,28,1947,21,21,19,7,10,1,30,41,-11,23.0,34.2,-11.1,0,0,0,0
80c31c97,32,2817,31,32,31,0,1,1,48,52,-4,40.9,41.7,-0.8,0,0,0,0
810e3c74,33,1817,20,20,3,13,4,2,41,18,23,29.6,23.2,6.4,0,0,0,0
819aa8e7,36,2492,27,28,15,8,2,1,33,28,5,33.3,33.1,0.2,0,0,0,0
819b3158,30,1517,16,15,9,15,4,2,44,14,30,32.9,12.5,20.4,0,0,0,0
81b906e7,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
82b1198a,5,381,4,4,4,1,29,2,10,3,7,8.0,4.7,3.2,381,5,4,4
82dbf623,16,238,2,1,0,15,13,1,5,2,3,7.7,4.5,3.2,0,0,0,0
82e34b69,29,1844,20,20,13,9,1,0,24,28,-4,26.4,23.9,2.5,0,0,0,0
8309b068,1,90,1,1,1,0,8,0,0,2,-2,0.5,1.6,-1.1,0,0,0,0
833fb62e,8,278,3,3,0,5,4,1,1,7,-6,1.6,4.7,-3.0,0,0,0,0
8397a50c,4,201,2,3,1,1,4,1,1,5,-4,1.0,3.7,-2.7,0,0,0,0
839c14e1,32,2794,31,32,29,0,0,1,31,44,-13,33.5,35.2,-1.7,0,0,0,0
84e6ea11,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
85b011bb,15,1292,14,14,14,1,17,1,12,24,-12,15.5,18.7,-3.2,1292,15,14,14
861e0116,5,335,3,4,3,1,1,0,2,6,-4,1.9,5.6,-3.7,0,0,0,0
864a3eba,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
867239d3,27,2148,23,25,19,2,0,2,48,20,28,39.1,25.8,13.3,0,0,0,0
86dd77d1,32,2785,30,32,29,0,4,2,87,22,65,64.8,19.6,45.2,0,0,0,0
87449a74,1,20,0,0,0,1,2,0,0,2,-2,0.0,1.0,-1.0,0,0,0,0
87575fd9,16,683,7,5,4,11,0,2,19,1,18,13.8,7.4,6.5,0,0,0,0
875898c7,28,2520,28,28,28,0,6,0,27,42,-15,26.3,33.6,-7.3,0,0,0,0
87935cf3,19,1600,17,18,17,1,2,1,24,23,1,26.0,22.0,4.1,0,0,0,0
8816329f,28,1784,19,19,12,9,0,1,17,22,-5,20.6,24.4,-3.8,0,0,0,0
881e5db7,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
885b7aa7,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
88ced02c,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
892d5bb1,36,2950,32,34,22,2,0,1,49,51,-2,42.0,40.5,1.5,0,0,0,0
89cbc961,4,121,1,1,0,3,3,1,2,2,0,1.3,1.8,-0.5,0,0,0,0
89d10e53,10,800,8,9,6,1,10,2,18,14,4,14.0,10.9,3.1,0,0,0,0
89e4b358,7,523,5,5,5,2,2,0,2,6,-4,5.3,4.3,1.0,0,0,0,0
8a7ff278,19,1613,17,19,16,0,4,1,16,25,-9,23.2,20.3,2.9,0,0,0,0
8aa5f52c,28,2210,24,24,21,4,5,1,26,45,-19,25.3,33.3,-8.0,0,0,0,0
8aadeaef,1,7,0,0,0,1,5,3,1,0,1,0.1,0.0,0.1,0,0,0,0
8abd0c03,12,994,11,12,10,0,5,1,18,17,1,14.2,13.9,0.3,0,0,0,0
8ae9869d,37,3265,36,37,35,0,0,1,28,53,-25,30.1,46.6,-16.5,0,0,0,0
8aec0537,38,2928,32,35,11,3,0,1,34,46,-12,34.0,40.1,-6.0,0,0,0,0
8b04d6c1,23,1670,18,19,14,4,8,0,18,30,-12,16.6,21.2,-4.6,0,0,0,0
8b0d6fe9,3,164,1,1,1,2,5,1,2,3,-1,1.5,2.3,-0.8,0,0,0,0
8b6e0db2,1,5,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
8b788c01,30,1582,17,18,5,12,4,2,34,13,21,27.0,22.1,4.9,0,0,0,0
8b8e759d,3,16,0,0,0,3,3,2,0,0,0,0.1,0.1,0.0,0,0,0,0
8b9ebd03,36,1890,21,20,11,16,1,1,35,19,16,28.0,16.9,11.1,0,0,0,0
8bfcc23b,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
8cceca90,9,547,6,7,3,2,10,0,4,14,-10,4.5,11.8,-7.3,0,0,0,0
8d228291,24,1037,11,10,3,14,1,0,14,15,-1,15.3,10.5,4.8,0,0,0,0
8d3c902d,33,2799,31,32,27,1,0,1,41,57,-16,29.5,43.8,-14.3,0,0,0,0
8d62d31a,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
8df7a2fb,29,2610,29,29,29,0,0,1,27,27,0,24.9,39.6,-14.6,0,0,0,0
8e65a5e5,11,990,11,11,11,0,18,1,16,14,2,17.6,11.4,6.1,990,11,11,11
8f160d73,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
8f62b6ee,36,3240,36,36,36,0,0,2,72,35,37,62.7,32.3,30.4,3240,36,36,36
8f866fe8,28,1081,12,11,3,17,10,0,13,17,-4,12.4,13.5,-1.2,0,0,0,0
8f898ba8,7,450,5,5,2,2,1,0,5,8,-3,4.5,6.0,-1.5,0,0,0,0
90f87966,8,688,7,8,6,0,5,1,9,11,-2,7.3,8.7,-1.3,0,0,0,0
914ab9a1,28,2330,25,27,24,1,1,1,31,43,-12,30.5,34.8,-4.3,0,0,0,0
91b43c98,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
91bdc54a,2,33,0,0,0,2,9,1,0,1,-1,0.0,1.0,-1.0,0,0,0,0
92232aad,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
9228b07c,33,1900,21,20,8,13,2,1,27,24,3,22.3,25.9,-3.6,0,0,0,0
92e7e919,37,2317,25,27,7,10,1,2,56,18,38,45.9,21.5,24.3,0,0,0,0
9306d5ea,30,2398,26,29,17,1,2,0,20,39,-19,21.1,35.6,-14.5,0,0,0,0
9319781b,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
9328b835,38,3420,38,38,38,0,0,0,28,56,-28,31.6,58.6,-27.0,3420,38,38,38
935e6b8f,27,2171,24,25,21,2,4,1,52,21,31,42.6,21.9,20.7,0,0,0,0
939bc634,38,3420,38,38,38,0,0,0,28,58,-30,31.3,48.5,-17.2,3420,38,38,38
93ee387c,4,156,1,2,1,2,17,1,1,3,-2,3.2,2.2,0.9,0,0,0,0
94b2001f,23,1349,15,13,11,10,13,2,40,11,29,30.1,11.1,19.0,0,0,0,0
960acc0a,13,1138,12,13,11,0,0,0,10,17,-7,10.0,21.9,-12.0,0,0,0,0
96b99d13,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
96bb8cc2,15,1277,14,15,13,0,0,1,14,12,2,9.6,19.8,-10.2,0,0,0,0
96e0490d,8,444,4,5,4,3,9,2,5,3,2,4.5,6.1,-1.6,0,0,0,0
97572117,29,2310,25,25,23,4,8,0,23,40,-17,24.8,33.0,-8.2,0,0,0,0
977ffc24,18,625,6,5,1,13,14,0,8,15,-7,8.0,12.4,-4.4,0,0,0,0
980522ec,37,3218,35,37,29,0,0,2,71,33,38,62.2,31.8,30.4,0,0,0,0
984a5a64,3,189,2,2,2,1,11,3,8,4,4,4.5,2.2,2.3,0,0,0,0
987718f5,29,2044,22,23,16,6,6,0,18,30,-12,17.4,32.9,-15.4,0,0,0,0
989d5705,34,2331,25,29,13,5,1,1,17,28,-11,19.0,35.1,-16.1,0,0,0,0
98be0d02,24,1238,13,12,5,12,12,0,9,30,-21,11.2,21.9,-10.6,0,0,0,0
99246027,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
99813635,12,308,3,1,0,11,2,2,4,1,3,4.6,1.4,3.2,0,0,0,0
9a104dee,14,986,11,12,5,2,2,1,10,13,-3,11.8,12.8,-1.0,0,0,0,0
9a8c6673,6,166,1,1,0,5,10,1,2,9,-7,0.9,5.4,-4.4,0,0,0,0
9a9c05db,26,2295,25,25,25,1,8,1,28,26,2,22.1,32.9,-10.8,0,0,0,0
