id,Player,Nation
56ae428b,Jubal,br BRA
c4a306a1,Jakub Jugas,cz CZE
53520a67,Jens Jønsson,dk DEN
0efacb06,Junior Kabananga,cd COD
390eb94b,Vladyslav Kabayev,ua UKR
71d5ca31,Tamás Kádár,hu HUN
768a35ac,Julius Kade,de GER
79c90e45,Pavel Kadeřábek,cz CZE
602bb3f7,Abdul Kadiri Mohammed,gh GHA
d2800f47,İrfan Kahveci,tr TUR
d4931a5a,Nikola Kalinić,hr CRO
2042d931,Salomon Kalou,ci CIV
cc77354e,Boubacar Kamara,fr FRA
b825a650,Kevin Kampl,si SVN
af50141d,Guélor Kanga,ga GAB
1bd5735a,Oleksandr Karavayev,ua UKR
ed99d19e,Maksim Karpov,ru RUS
a81f4896,Guram Kashia,ge GEO
2a82aa85,Grigoris Kastanos,cy CYP
692d8bb0,Onur Kaya,be BEL
c5b7c315,Michael Keane,eng ENG
dc52c72f,Tomasz Kędziora,pl POL
92c62328,Aly Keita,gn GUI
f25c8e3a,Naby Keïta,gn GUI
f1b17a24,Yury Kendysh,by BLR
099e666f,Jonjoe Kenny,eng ENG
4383b0da,Claudiu Keșerü,ro ROU
05e19d6a,Franck Kessié,ci CIV
7b66eec0,Yevhen Khacheridi,ua UKR
14e8fe86,Ihor Kharatin,ua UKR
aae44006,Khetag Khosonov,ru RUS
da1c9094,Joël Kiassumbua,cd COD
53b03dac,Serkan Kırıntılı,tr TUR
3470f44e,Anastasios Kissas,cy CYP
15fd5593,Davy Klaassen,nl NED
dc8f5b58,Florian Klein,at AUT
af8e4246,László Kleinheisler,hu HUN
1e29552f,Jonathan Klinsmann,us USA
dab0da1c,Viktor Klonaridis,be BEL
ca8033cb,Lukas Klostermann,de GER
92948149,Lukas Klünter,de GER
cd59b9df,Gregor Kobel,ch SUI
4e034598,Anton Kochenkov,ru RUS
8530dd74,Vladyslav Kocherhin,ua UKR
9fc2531b,Koka,eg EGY
55126f3b,Koke,es ESP
fec5accc,Aleksandr Kokorin,ru RUS
731e29b8,Daniel Kolář,cz CZE
3935e52e,Sead Kolašinac,ba BIH
cc96d422,Aleksandr Kolomeytsev,ru RUS
6d3f2898,Dmitri Kombarov,ru RUS
6b2c894b,Ghislain Konan,ci CIV
5ed9b537,Ibrahima Konaté,fr FRA
27d34558,Panagiotis Kone,gr GRE
60fd5334,Anders Konradsen,no NOR
0f816ae5,Morten Konradsen,no NOR
0488e833,Miloš Kopečný,cz CZE
6f639ec7,Jan Kopic,cz CZE
f447fcdb,Mihály Korhut,hu HUN
22b752ee,Nikita Korzun,by BLR
f5efb153,Laurent Koscielny,fr FRA
da270297,Eboue Kouassi,ci CIV
da974c7b,Kalidou Koulibaly,sn SEN
d659a854,Svetoslav Kovachev,bg BUL
0489db27,Dominik Kovačić,hr CRO
60713cb3,Maksym Koval,ua UKR
87c7c2b1,Přemysl Kovář,cz CZE
e16dd48e,Jan Kovařík,cz CZE
9a493fb7,Vincent Koziello,fr FRA
bb25c778,Thomas Kraft,de GER
603cb947,Andrej Kramarić,hr CRO
314bdac5,Matías Kranevitter,ar ARG
0b5b8057,Artem Kravets,ua UKR
43cd8b69,Michal Krmenčík,cz CZE
5631b735,Nenad Krstičić,rs SRB
ccc66d00,Konstantin Kuchayev,ru RUS
c18f2143,Ante Kulušić,hr CRO
144607cc,Jasmin Kurtić,si SVN
e4fcb211,Kasper Kusk,dk DEN
ef8cafeb,Ilya Kutepov,ru RUS
d4e93bab,Daler Kuzyaev,ru RUS
19e4dca5,Solomon Kvirkvelia,ge GEO
1c639185,William Kvist,dk DEN
bcd1bea2,Zoran Kvržić,ba BIH
8497faf7,Alberto de la Bella,es ESP
9dbb75ca,Alexandre Lacazette,fr FRA
c1b7847c,Konrad Laimer,at AUT
4aea5077,Stefan Lainer,at AUT
9cc4ae6d,Vassilis Lambropoulos,
15e99107,Mohamed Lamine Diaby,fr FRA
74d70fb5,Sebastian Langkamp,de GER
42fe6b05,Yann-Erik de Lanlay,no NOR
119b9a8e,Aymeric Laporte,es ESP
53685aa2,Ionuț Larie,ro ROU
958aba30,Joseph Larweh Attamah,gh GHA
d0c41b99,Jan Laštůvka,cz CZE
016ff750,Valentino Lazaro,at AUT
321a71a7,Maxime Le Marchand,fr FRA
8f4d116f,Damien Le Tallec,fr FRA
