id,Player,Nation
9d4c45d6,Roberto Soriano,it ITA
048877f5,Stefano Sorrentino,it ITA
94816803,Riccardo Sottil,it ITA
3626daea,Leonardo Spinazzola,it ITA
9a560ebe,Nicolás Spolli,ar ARG
ac4003af,Marco Sportiello,it ITA
bdd0692f,Mattia Sprocati,it ITA
edd6c8e9,Darijo Srna,hr CRO
7b536033,Mariusz Stępiński,pl POL
339fe0e8,Thomas Strakosha,al ALB
ef2e5e1a,Kevin Strootman,nl NED
f91e81c9,Jens Stryger Larsen,dk DEN
92948398,Leo Štulac,si SVN
2334478a,Stefano Sturaro,it ITA
4e219ad2,Suso,es ESP
92d83c27,Mattias Svanberg,se SWE
01b8a2b2,Wojciech Szczęsny,pl POL
618ab91f,Strahinja Tanasijević,rs SRB
f1675fdd,Júnior Tavares,br BRA
7e81a17d,Łukasz Teodorczyk,pl POL
18f9dbd0,Hidde ter Avest,nl NED
e1b0a70d,Pietro Terracciano,it ITA
4d3ab428,Cyril Théréau,fr FRA
c56dc39e,Rafael Tolói,it ITA
6aafdc27,Nenad Tomović,rs SRB
8cc29864,Lorenzo Tonelli,it ITA
7ed4921e,William Troost-Ekong,ng NGA
acdad0aa,Marcello Trotta,it ITA
5bdd44d8,Marco Tumminello,it ITA
fe154b26,Salih Uçan,tr TUR
1880614f,Cengiz Ünder,tr TUR
3300c14c,Joel Untersee,ch SUI
c710f7d5,Mirko Valdifiori,it ITA
0e21fc3c,Borja Valero,es ESP
c414df9d,Mattia Valoti,it ITA
2b28ba9f,Luca Valzania,it ITA
44ac04e9,Matías Vecino,uy URU
ab1ca213,Miguel Veloso,pt POR
0497a545,Francesco Verde,it ITA
0375723e,Simone Verdi,it ITA
4a56052c,Jordan Veretout,fr FRA
d541e703,Freddie Veseli,al ALB
de045b15,Francesco Vicari,it ITA
75e60d75,Ronaldo Vieira,gw GNB
ec5dae45,Emanuel Vignato,it ITA
2258c078,Federico Viviani,it ITA
03760df0,Emiliano Viviano,it ITA
0412b9cd,Felipe Vizeu,br BRA
79443529,Dušan Vlahović,rs SRB
b32e8c5f,Rai Vloet,nl NED
d0d8dd44,Stefan de Vrij,nl NED
46a8347f,Šime Vrsaljko,hr CRO
a440d8ca,Molla Wagué,ml MLI
d61b3354,Wallace,br BRA
2876eaa3,Ben Wilmot,eng ENG
228f73ae,Amin Younes,de GER
83e4643e,Miha Zajc,si SVN
8e45910b,Francesco Zampano,it ITA
9907b1c8,Nicolò Zaniolo,it ITA
b1deecf8,Cristián Zapata,co COL
d3de9af0,Duván Zapata,co COL
9592289a,Simone Zaza,it ITA
8abd0c03,Marvin Zeegelaar,nl NED
a5296e55,Piotr Zieliński,pl POL
1253a12e,Ervin Zukanović,ba BIH
dfb933e0,Filip Đorđević,rs SRB
eccbe56a,Filip Đuričić,rs SRB
