id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
bee704fc,46,25,30,16,0,11,31,20,39,21,18,29,75,129,1,151
bf13975c,39,18,19,12,8,17,56,39,27,6,21,26,65,18,1,99
bf168004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bf309d24,40,25,14,20,6,8,30,22,10,1,9,33,73,16,2,119
bf356094,2,1,1,0,1,1,2,1,1,0,1,1,3,0,0,9
bf39bdec,17,7,5,10,2,6,22,16,10,2,8,5,22,22,0,47
bf4d31d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf57eaab,7,5,1,4,2,0,7,7,3,0,3,5,12,2,0,40
c01c66d9,9,5,6,3,0,4,11,7,13,8,5,13,22,26,0,32
c0c7ff58,43,26,19,18,6,24,65,41,32,4,28,32,75,18,2,215
c0cddebe,48,27,13,27,8,13,34,21,35,6,29,22,70,16,0,106
c235e803,7,5,5,2,0,5,8,3,6,6,0,9,16,21,0,40
c316607a,14,9,12,2,0,7,10,3,13,8,5,11,25,28,2,51
c375dfa5,1,0,1,0,0,1,5,4,3,0,3,7,8,11,0,11
c3a8bcd8,42,26,16,22,4,15,48,33,22,6,16,37,79,25,2,167
c414df9d,48,30,21,25,2,16,43,27,27,6,21,16,64,18,0,81
c4efe2b4,1,0,0,1,0,0,0,0,2,1,1,1,2,0,0,4
c50cee19,11,8,5,5,1,4,12,8,10,1,9,8,19,5,0,52
c53083ad,18,10,13,4,1,5,15,10,13,2,11,9,27,14,0,68
c56dc39e,56,29,28,23,5,33,76,43,31,17,14,45,101,80,0,210
c59f90b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c5adc293,6,4,1,4,1,2,5,3,3,2,1,4,10,8,0,19
c693347d,9,4,2,5,2,4,11,7,7,0,7,2,11,26,0,41
c6e8cf1f,29,17,8,19,2,10,35,25,21,7,14,29,58,15,0,108
c707411f,23,15,13,10,0,10,17,7,19,14,5,25,48,76,1,123
c710f7d5,31,15,14,17,0,16,33,17,8,3,5,4,35,25,0,84
c7259b83,47,24,15,25,7,15,55,40,30,5,25,26,73,25,0,114
c730da00,5,1,4,1,0,3,5,2,4,3,1,4,9,8,1,14
c75b6a02,7,4,2,3,2,1,8,7,4,1,3,2,9,13,0,32
c840baa2,2,0,0,1,1,1,1,0,0,0,0,0,2,0,0,2
ca241ad3,0,0,0,0,0,0,0,0,1,0,1,3,3,3,0,12
ca8fa0c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caec77da,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
