id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1bd5fc78,Eduardo Henrique,br BRA,MF,Crotone,25,1995,10.3,5,2,1,4,0,3,12,25.0,9,6,1,5,7,12,7,1,Matches
d4c9725f,Theo Hernández,fr FRA,DF,Milan,22,1997,32.6,48,29,22,21,5,19,38,50.0,19,29,6,23,34,82,64,5,Matches
6f5ead86,Hernani,br BRA,MF,Parma,26,1994,24.3,51,25,21,27,3,29,66,43.9,37,35,4,31,31,82,40,1,Matches
90b70194,Përparim Hetemaj,fi FIN,MF,Benevento,33,1986,24.6,44,27,21,18,5,26,61,42.6,35,41,5,36,22,66,24,1,Matches
1780bb4a,Aaron Hickey,sct SCO,DF,Bologna,18,2002,8.4,12,8,10,2,0,7,17,41.2,10,6,1,5,15,27,15,1,Matches
875898c7,Wesley Hoedt,nl NED,DF,Lazio,26,1994,10.6,22,16,18,4,0,10,17,58.8,7,9,5,4,17,39,48,1,Matches
2f3452eb,Elseid Hysaj,al ALB,DF,Napoli,26,1994,19.6,29,17,16,11,2,17,33,51.5,16,18,4,14,30,59,52,0,Matches
63071a3f,Simone Iacoponi,it ITA,DF,Parma,33,1987,13.3,22,12,16,5,1,13,26,50.0,13,9,4,5,11,33,42,1,Matches
82efe6fa,Roger Ibanez,br BRA,DF,Roma,21,1998,26.6,59,37,28,25,6,25,45,55.6,20,38,17,21,68,127,78,3,Matches
4cde5509,Zlatan Ibrahimović,se SWE,FW,Milan,38,1981,16.6,5,4,0,4,1,3,6,50.0,3,5,3,2,6,11,27,1,Matches
a4e85758,Igor,br BRA,DF,Fiorentina,22,1998,13.0,15,9,9,6,0,7,12,58.3,5,17,9,8,23,38,34,0,Matches
bb376bed,Ivan Ilić,rs SRB,MF,Hellas Verona,19,2001,20.4,26,14,11,11,4,7,21,33.3,14,17,5,12,27,53,26,0,Matches
68252d6d,Josip Iličić,si SVN,"MF,FW",Atalanta,32,1988,17.0,9,4,1,5,3,5,21,23.8,16,12,0,12,2,11,0,1,Matches
4431aed2,Ciro Immobile,it ITA,FW,Lazio,30,1990,31.7,14,13,4,6,4,7,22,31.8,15,13,1,12,6,20,9,0,Matches
f6dfa5b8,Riccardo Improta,it ITA,"DF,MF",Benevento,26,1993,25.9,39,23,25,8,6,21,45,46.7,24,23,4,19,28,67,47,0,Matches
6c1f7328,Roberto Inglese,it ITA,FW,Parma,28,1991,6.4,5,2,1,2,2,2,11,18.2,9,10,0,10,0,5,3,0,Matches
2f557579,Lorenzo Insigne,it ITA,FW,Napoli,29,1991,31.8,26,18,8,12,6,13,72,18.1,59,30,1,29,37,63,6,1,Matches
8faf7b3c,Roberto Insigne,it ITA,"MF,FW",Benevento,26,1994,17.8,16,10,8,3,5,7,27,25.9,20,10,0,10,7,23,9,0,Matches
cedb3e36,Artur Ioniță,md MDA,MF,Benevento,29,1990,31.5,47,22,11,31,5,17,63,27.0,46,38,14,24,19,66,28,0,Matches
6b635f5c,Ardian Ismajli,al ALB,DF,Spezia,23,1996,14.4,19,9,10,8,1,8,13,61.5,5,10,7,3,23,42,52,1,Matches
89976232,Armando Izzo,it ITA,DF,Torino,28,1992,22.3,30,16,13,13,4,13,33,39.4,20,22,9,13,53,83,62,0,Matches
8c65eb5f,Mato Jajalo,ba BIH,MF,Udinese,32,1988,0.4,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,0,0,Matches
1ea5f91c,Jakub Jankto,cz CZE,MF,Sampdoria,24,1996,26.8,28,17,14,7,7,11,35,31.4,24,16,1,15,24,52,34,0,Matches
79083382,Juan Jesus,br BRA,DF,Roma,29,1991,1.7,3,1,2,1,0,2,4,50.0,2,1,0,1,2,5,5,0,Matches
570bb4b9,Hamed Junior Traorè,ci CIV,"MF,FW",Sassuolo,20,2000,19.9,29,17,10,10,9,14,35,40.0,21,27,3,24,18,47,9,0,Matches
7737dee2,Musa Juwara,gm GAM,"MF,DF",Bologna,18,2001,0.5,2,2,2,0,0,1,3,33.3,2,1,0,1,0,2,0,0,Matches
d4931a5a,Nikola Kalinić,hr CRO,FW,Hellas Verona,32,1988,11.8,5,1,2,2,1,0,3,0.0,3,6,0,6,1,6,7,0,Matches
f95f49d2,Yayah Kallon,sl SLE,FW,Genoa,19,2001,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
85f7d1be,Pierre Kalulu,fr FRA,DF,Milan,20,2000,8.1,18,14,11,6,1,10,14,71.4,4,9,3,6,19,37,20,0,Matches
8b66d9cc,Yann Karamoh,fr FRA,"FW,MF",Parma,22,1998,14.4,27,17,8,12,7,11,31,35.5,20,6,0,6,4,31,11,0,Matches
4c7919df,Isaac Karamoko,fr FRA,DF,Sassuolo,18,2002,0.0,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
0c8f27b5,Augustus Kargbo,sl SLE,FW,Crotone,20,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
9f84febe,Rick Karsdorp,nl NED,DF,Roma,25,1995,28.3,36,23,19,12,5,21,48,43.8,27,18,1,17,30,66,32,0,Matches
05e19d6a,Franck Kessié,ci CIV,MF,Milan,23,1996,35.8,53,30,28,19,6,20,38,52.6,18,47,15,32,46,99,51,0,Matches
19d1c41f,Omar Khailoti,it ITA,DF,Bologna,18,2001,0.3,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,Matches
8b8a56ce,Simon Kjær,dk DEN,DF,Milan,31,1989,26.6,45,26,23,20,2,18,30,60.0,12,42,26,16,42,87,125,0,Matches
008a6e6d,Ragnar Klavan,ee EST,DF,Cagliari,34,1985,8.6,15,9,9,5,1,7,11,63.6,4,9,4,5,8,23,34,0,Matches
