id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
70cb75ae,4,97,1.1,1,0,3,2,1.25,2,2.0,0.0,0.2,1.4,2.7,-1.4,-0.56,0,0,0,0.0
70cf63ca,2,102,1.1,1,1,1,0,0.5,3,3.0,0.0,1.15,1.8,1.8,0.0,0.36,0,0,0,0.0
710d9a8e,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
71115017,2,119,1.3,2,0,0,4,1.75,0,0.0,0.0,0.3,0.4,1.7,-1.3,-0.75,0,0,0,0.0
7120a04d,4,125,1.4,1,1,3,2,2.5,4,2.0,2.0,1.22,2.7,3.3,-0.7,-1.08,0,0,0,0.0
712dd708,10,882,9.8,10,9,0,0,1.69,11,12.0,-1.0,-10.1,11.5,14.0,-2.5,-1.54,0,0,0,0.0
713c144a,6,540,6.0,6,6,0,0,1.5,7,9.0,-2.0,0.0,7.8,13.6,-5.8,0.0,0,0,0,0.0
715e5b0e,3,88,1.0,0,0,3,0,0.33,0,1.0,-1.0,-1.02,1.1,2.6,-1.5,-0.85,0,0,0,0.0
715fc0fe,7,579,6.4,7,4,0,1,2.14,14,7.0,7.0,3.19,8.1,7.3,0.9,0.76,0,0,0,0.0
71d5ca31,4,360,4.0,4,4,0,0,1.25,5,5.0,0.0,0.0,8.7,4.9,3.8,0.79,0,0,0,0.0
723ba189,2,42,0.5,0,0,2,0,2.0,0,2.0,-2.0,-4.65,1.6,0.5,1.1,2.15,0,0,0,0.0
7272a72a,6,521,5.8,6,1,0,0,2.17,10,10.0,0.0,-14.21,8.9,6.7,2.2,0.78,0,0,0,0.0
72cddc0f,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
72fd57f5,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
73000a79,4,337,3.7,4,3,0,0,2.25,7,4.0,3.0,-0.79,6.8,4.5,2.3,0.42,0,0,0,0.0
7304f3b1,1,19,0.2,0,0,1,0,0.0,0,0.0,0.0,-0.26,0.0,0.2,-0.2,-0.73,0,0,0,0.0
731302dc,1,10,0.1,0,0,1,0,0.0,0,0.0,0.0,-0.36,0.2,0.0,0.2,0.0,0,0,0,0.0
733e7ad8,2,168,1.9,2,1,0,0,0.5,1,4.0,-3.0,13.39,1.5,4.0,-2.5,2.53,0,0,0,0.0
7352dca8,5,421,4.7,5,4,0,0,0.4,1,4.0,-3.0,-0.64,4.8,4.5,0.3,2.33,0,0,0,0.0
73683fa9,5,450,5.0,5,5,0,3,2.45,12,3.0,9.0,3.13,10.2,4.3,5.9,1.4,450,5,5,5.0
