id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
e472a6f6,2,76,0,0,0,2,9,1,2,1,1,1.3,1.9,-0.6,0,0,0,0
e4b72e34,26,2035,22,22,19,4,2,1,23,27,-4,30.1,29.6,0.5,0,0,0,0
e50623a0,6,307,3,4,1,2,0,0,3,7,-4,2.3,6.7,-4.4,0,0,0,0
e53ab10b,1,14,0,0,0,1,1,0,0,0,0,0.0,0.1,-0.1,0,0,0,0
e54a9890,23,1170,13,13,4,10,3,1,16,13,3,14.2,12.4,1.8,0,0,0,0
e6777e6b,32,2784,30,31,30,1,3,1,35,51,-16,41.8,42.0,-0.2,0,0,0,0
e6eadfb8,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
e768de1f,31,2693,29,31,26,0,0,1,34,36,-2,34.2,39.2,-5.0,0,0,0,0
e7986081,16,677,7,6,3,10,0,2,9,5,4,18.6,4.8,13.8,0,0,0,0
e90dc1d5,4,140,1,2,0,2,2,1,3,3,0,2.7,0.9,1.8,0,0,0,0
e97150c0,28,2493,27,28,27,0,2,1,41,52,-11,35.9,37.9,-2.1,0,0,0,0
e9743d8a,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
ea02beaf,38,2420,26,27,5,11,0,1,31,39,-8,30.3,40.0,-9.7,0,0,0,0
ea0aa7e0,34,2236,24,26,15,8,0,1,39,40,-1,36.6,40.2,-3.6,0,0,0,0
ea0ff634,24,857,9,6,2,18,12,1,11,18,-7,6.5,14.5,-8.0,0,0,0,0
eb78322b,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
ecada4fc,29,2520,28,29,27,0,1,2,64,18,46,57.0,27.8,29.1,2520,29,29,28
ed45c4a5,26,1887,21,21,10,5,1,1,25,22,3,27.2,25.3,1.9,0,0,0,0
ed62c3d8,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
edbe46dc,37,3313,36,37,35,0,0,1,54,51,3,54.2,44.5,9.7,3313,37,37,36
edd1466a,23,1622,18,18,13,5,11,0,12,41,-29,16.7,36.3,-19.6,0,0,0,0
edd81e2a,38,3412,37,38,37,0,0,1,44,48,-4,44.1,49.2,-5.2,0,0,0,0
ee95585f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
eedea60b,2,135,1,1,1,1,32,0,1,1,0,2.0,1.5,0.5,135,2,1,1
ef2e5e1a,11,233,2,1,0,10,6,2,5,2,3,2.2,3.5,-1.3,0,0,0,0
ef7cd87a,29,1681,18,20,11,9,7,0,18,28,-10,22.0,24.8,-2.8,0,0,0,0
ef9c1c95,35,2885,32,35,17,0,0,2,47,17,30,36.1,23.1,13.0,0,0,0,0
f00de885,38,3420,38,38,38,0,0,2,81,43,38,81.4,41.5,39.9,3420,38,38,38
f066022d,30,2659,29,30,29,0,4,1,38,47,-9,37.9,37.1,0.8,0,0,0,0
f18d7ab2,19,1207,13,12,11,7,15,1,21,20,1,17.6,19.7,-2.1,0,0,0,0
f329ec76,2,34,0,0,0,2,4,0,0,2,-2,0.2,1.4,-1.2,0,0,0,0
f3600c02,33,1200,13,11,4,22,1,2,30,9,21,20.5,9.4,11.1,0,0,0,0
f36c432f,29,802,8,6,1,23,3,2,24,10,14,20.8,8.2,12.7,0,0,0,0
f36d5624,19,675,7,6,1,13,11,1,18,10,8,13.3,10.2,3.1,0,0,0,0
f3e2f544,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
f449640d,24,662,7,6,4,18,9,2,17,16,1,14.1,10.0,4.2,0,0,0,0
f45f9427,13,373,4,3,2,10,10,1,8,4,4,5.9,4.2,1.7,0,0,0,0
f4bc42b1,27,1256,14,12,1,15,2,1,13,22,-9,13.1,21.5,-8.5,0,0,0,0
f5044e54,29,2063,22,23,16,6,1,1,31,35,-4,30.4,35.4,-4.9,0,0,0,0
f54d2149,29,2031,22,26,11,3,2,0,25,35,-10,17.9,38.0,-20.0,0,0,0,0
f5b6fb78,31,2651,29,30,27,1,3,1,31,42,-11,35.4,42.3,-7.0,0,0,0,0
f5c8b425,32,1086,12,10,0,22,1,2,20,5,15,18.8,7.9,10.9,0,0,0,0
f5efb153,26,2218,24,25,24,1,0,1,25,35,-10,27.6,38.2,-10.5,0,0,0,0
f6496133,24,1314,14,17,2,7,3,1,16,23,-7,17.3,15.6,1.7,0,0,0,0
f6b94e8d,15,1000,11,10,9,5,18,0,5,16,-11,9.5,12.7,-3.2,0,0,0,0
f76022e7,2,41,0,0,0,2,14,0,1,0,1,1.5,0.1,1.4,0,0,0,0
f7691f63,34,1829,20,19,6,15,0,1,26,30,-4,28.3,25.7,2.6,0,0,0,0
f81ef10d,29,1761,19,19,10,10,6,2,37,25,12,36.7,20.4,16.4,0,0,0,0
f83c8d6c,24,571,6,1,0,23,13,1,5,10,-5,6.3,12.9,-6.6,0,0,0,0
f8405304,21,348,3,1,0,20,10,0,5,8,-3,5.6,5.8,-0.2,0,0,0,0
f86ca403,12,914,10,11,6,1,0,1,12,11,1,10.9,12.6,-1.7,0,0,0,0
f8ce97ca,6,383,4,3,3,3,19,2,12,3,9,10.3,6.0,4.3,0,0,0,0
f98b15f0,20,795,8,11,1,9,7,1,9,15,-6,9.7,13.2,-3.3,0,0,0,0
f9921b7f,2,21,0,0,0,2,6,0,0,0,0,0.0,0.1,-0.1,0,0,0,0
f9d5908e,25,1736,19,22,6,3,1,1,22,33,-11,22.8,27.9,-5.2,0,0,0,0
f9edc384,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
fa18c72e,28,1496,16,17,2,11,2,2,33,6,27,22.9,11.3,11.6,0,0,0,0
fa4e0908,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
fb14aa28,29,2161,24,24,8,5,0,0,16,43,-27,21.0,41.6,-20.6,0,0,0,0
