,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
234,6421dd73,35,2469,27,30,11,5,0,1,23,42,-19,29.5,38.4,-8.9,0,0,0,0
235,6453830e,1,1,0,0,0,1,3,3,0,0,0,0.0,0.0,0.0,0,0,0,0
236,6481421d,28,1600,17,18,7,10,2,1,20,19,1,18.5,19.8,-1.3,0,0,0,0
237,64ba07c0,4,355,3,4,3,0,3,2,7,2,5,5.9,3.7,2.2,0,0,0,0
238,65391fa7,2,92,1,1,1,1,2,3,2,1,1,1.0,1.6,-0.5,0,0,0,0
239,66116290,33,2557,28,29,18,4,0,0,29,45,-16,36.2,37.1,-0.9,0,0,0,0
240,6644712a,1,12,0,0,0,1,3,3,0,0,0,0.2,0.0,0.2,0,0,0,0
241,6690ef25,31,2667,29,31,29,0,0,1,41,24,17,40.0,25.9,14.2,0,0,0,0
242,677ee102,23,1431,15,15,10,8,9,1,12,28,-16,17.6,25.7,-8.1,0,0,0,0
243,67ac5bb8,14,1066,11,11,11,3,7,2,22,5,17,19.0,10.3,8.7,0,0,0,0
244,67b7357e,9,411,4,6,4,3,9,0,2,6,-4,4.5,6.5,-2.0,0,0,0,0
245,67cd5f5d,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
246,68a87d66,13,442,4,4,1,9,6,1,6,2,4,8.4,5.4,3.0,0,0,0,0
247,69384e5d,17,1439,16,16,11,1,0,2,50,14,36,37.3,17.6,19.7,0,0,0,0
248,698b37b8,1,19,0,0,0,1,1,0,0,0,0,0.8,0.0,0.7,0,0,0,0
249,698f11e3,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
250,6a189491,7,593,6,7,4,0,2,0,9,9,0,10.7,8.0,2.7,0,0,0,0
251,6a827d8e,29,2263,25,25,23,4,0,1,21,21,0,33.1,31.2,1.9,0,0,0,0
252,6b200d45,31,2700,30,31,29,0,1,1,44,33,11,43.3,41.7,1.6,0,0,0,0
253,6b2c894b,20,1800,20,20,20,0,0,1,16,19,-3,18.3,21.9,-3.6,0,0,0,0
254,6b9f2f3e,6,449,5,3,3,3,13,0,4,8,-4,4.0,6.4,-2.4,0,0,0,0
255,6bca20fe,12,850,9,10,6,2,9,0,11,16,-5,13.2,15.0,-1.8,0,0,0,0
256,6bde367b,32,2864,31,32,30,0,0,1,51,48,3,42.8,45.8,-3.0,0,0,0,0
257,6be41a31,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
258,6c6ecdd4,7,455,5,6,1,1,0,1,4,9,-5,4.6,9.5,-4.9,0,0,0,0
259,6c8ddd52,1,14,0,0,0,1,4,1,0,0,0,0.5,0.2,0.3,0,0,0,0
260,6c9642ae,8,357,4,4,2,4,13,1,1,6,-5,3.0,5.7,-2.7,0,0,0,0
