goals,shot,shot_on_target,tot_shot_dist,fk,pk,att_pk,xG,npxG,G__xG,npG__npxG,season,comp,id
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,8aadeaef
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,8abd0c03
0,10,0,87.0,0,0,0,1.1,1.1,-1.1,-1.1,18,ENG,8ae9869d
7,43,19,924.5,1,1,1,3.3,2.5,3.7,3.5,18,ENG,8aec0537
0,16,6,377.6,0,0,0,1.0,1.0,-1.0,-1.0,18,ENG,8b04d6c1
0,2,0,44.8,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,8b0d6fe9
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,8b6e0db2
9,48,15,830.4,0,1,1,6.3,5.5,2.7,2.5,18,ENG,8b788c01
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,8b8e759d
6,53,23,1049.4,5,1,1,5.5,4.7,0.5,0.3,18,ENG,8b9ebd03
0,2,1,42.0,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,8cceca90
7,47,24,705.0,0,1,1,7.1,6.3,-0.1,-0.3,18,ENG,8d228291
2,23,4,326.6,0,0,0,2.7,2.7,-0.7,-0.7,18,ENG,8d3c902d
0,25,7,310.0,1,0,0,1.9,1.9,-1.9,-1.9,18,ENG,8df7a2fb
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,8e65a5e5
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,8f62b6ee
5,21,9,367.5,0,1,1,2.5,1.7,2.5,2.3,18,ENG,8f866fe8
0,11,4,146.3,0,0,0,0.7,0.7,-0.7,-0.7,18,ENG,8f898ba8
0,8,1,122.4,0,0,0,0.6,0.6,-0.6,-0.6,18,ENG,90f87966
2,10,5,107.0,0,0,0,0.7,0.7,1.3,1.3,18,ENG,914ab9a1
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,91bdc54a
2,21,3,457.8,0,0,0,1.5,1.5,0.5,0.5,18,ENG,9228b07c
12,75,33,1222.5,0,0,0,10.2,10.2,1.8,1.8,18,ENG,92e7e919
0,12,2,288.0,0,0,0,0.4,0.4,-0.4,-0.4,18,ENG,9306d5ea
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,9328b835
1,15,3,357.0,1,0,0,1.2,1.2,-0.2,-0.2,18,ENG,935e6b8f
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,939bc634
