matches_gk,starts_gk,minutes_gk,nineties_gk,goals_ag,sot_ag,saves,gk_won,gk_drew,gk_lost,cs,pk_att_ag,pk_scored_ag,pk_saved,pk_missed_ag,season,comp,id
8,8,720,8.0,15,33,18,1,3,4,1,3,3,0,0,23,ENG,ecada4fc
11,10,945,10.5,31,60,31,2,0,8,2,2,2,0,0,23,ENG,fe558029
17,17,1530,17.0,9,33,24,13,3,1,11,0,0,0,0,18,ITA,01b8a2b2
27,27,2430,27.0,43,132,87,11,4,12,6,6,2,4,0,18,ITA,03760df0
38,38,3420,38.0,59,187,129,10,10,18,7,7,4,3,0,18,ITA,048877f5
3,1,217,2.4,8,17,9,0,0,1,0,0,0,0,0,18,ITA,085e71a7
38,38,3420,38.0,42,132,91,18,10,10,12,3,2,0,1,18,ITA,08f5afaa
2,2,180,2.0,7,25,18,0,0,2,0,0,0,0,0,18,ITA,0d422df7
37,37,3330,37.0,45,158,110,12,15,10,10,8,5,3,0,18,ITA,10dc46f0
4,4,360,4.0,5,17,12,1,0,3,1,1,1,0,0,18,ITA,18736214
33,33,2970,33.0,46,144,101,10,5,18,7,3,2,0,1,18,ITA,30223b33
36,36,3240,36.0,71,233,162,7,4,25,7,8,6,2,0,18,ITA,326d09ef
32,32,2880,32.0,52,143,92,11,4,17,8,5,2,2,1,18,ITA,32b9b5fa
38,38,3420,38.0,49,159,111,21,9,8,11,10,9,1,0,18,ITA,339fe0e8
1,1,90,1.0,0,1,1,0,1,0,1,0,0,0,0,18,ITA,343f753a
1,1,90,1.0,1,3,2,0,0,1,0,0,0,0,0,18,ITA,349601c3
6,6,540,6.0,11,27,16,1,0,5,1,1,0,1,0,18,ITA,41bd99ea
37,37,3330,37.0,42,167,127,11,8,18,12,4,4,0,0,18,ITA,4c62d0c8
15,15,1293,14.4,32,89,59,2,0,13,1,4,4,0,0,18,ITA,4f8ce0e1
1,1,90,1.0,1,5,4,0,1,0,0,0,0,0,0,18,ITA,61228681
13,11,1126,12.5,31,70,39,1,2,8,1,4,2,0,2,18,ITA,6989550f
38,38,3420,38.0,30,117,91,20,12,6,17,2,2,0,0,18,ITA,74419746
37,37,3330,37.0,28,135,105,22,8,7,17,5,3,2,0,18,ITA,7a2e46a8
1,0,8,0.1,1,2,1,0,0,0,0,0,0,0,0,18,ITA,7b5f516f
37,37,3316,36.8,58,172,114,11,10,16,10,3,2,1,0,18,ITA,8cabdc1e
1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,18,ITA,8cf63012
13,13,1158,12.9,16,60,44,2,7,4,4,5,3,2,0,18,ITA,9413b19f
1,1,90,1.0,1,2,1,1,0,0,0,0,0,0,0,18,ITA,9fa26bc2
1,1,90,1.0,3,3,0,0,0,1,0,1,1,0,0,18,ITA,a4ec7d09
1,1,90,1.0,0,3,3,1,0,0,1,0,0,0,0,18,ITA,ab4449d6
37,37,3202,35.6,38,131,92,16,9,12,14,3,2,1,0,18,ITA,ac4003af
23,23,1989,22.1,38,118,80,8,3,12,5,9,8,0,1,18,ITA,b39dfab0
26,25,2261,25.1,43,140,98,6,7,12,3,7,6,1,0,18,ITA,cecbce23
10,8,794,8.8,11,39,28,4,1,3,1,1,1,0,0,18,ITA,dd06d56c
37,37,3330,37.0,29,97,68,28,6,3,18,2,2,0,0,18,ITA,e358587b
21,21,1862,20.7,14,56,43,17,2,2,11,4,3,1,0,18,ITA,e40d028b
38,38,3420,38.0,66,200,133,9,8,21,5,8,6,1,1,18,ITA,e66ebabb
31,31,2790,31.0,34,99,64,13,10,8,8,2,1,1,0,18,ITA,ee833569
2,1,104,1.2,1,6,6,0,0,1,0,0,0,0,0,18,ITA,f058ed1f
7,7,622,6.9,4,17,13,3,2,2,3,0,0,0,0,18,ITA,f0f7f62f
29,29,2536,28.2,47,130,82,7,5,17,7,10,6,2,2,18,ITA,f554e29b
1,0,28,0.3,1,2,1,0,0,0,0,0,0,0,0,18,ITA,f6a06749
28,28,2520,28.0,20,81,61,22,5,1,11,3,1,1,1,19,ITA,01b8a2b2
17,17,1525,16.9,25,84,59,7,3,7,3,4,4,0,0,19,ITA,03760df0
31,31,2790,31.0,60,167,107,1,11,19,5,4,2,2,0,19,ITA,048877f5
1,0,5,0.1,0,0,0,0,0,0,1,0,0,0,0,19,ITA,07f55871
17,16,1485,16.5,26,104,77,5,3,8,4,4,3,1,0,19,ITA,085e71a7
36,36,3092,34.3,31,126,95,18,11,7,11,4,3,1,0,19,ITA,08f5afaa
3,3,270,3.0,5,12,7,0,1,2,1,0,0,0,0,19,ITA,0acda699
36,36,3170,35.2,35,136,99,15,14,7,14,4,2,2,0,19,ITA,10dc46f0
16,16,1440,16.0,36,104,69,4,4,8,0,4,3,0,1,19,ITA,277da414
11,11,990,11.0,6,38,31,6,4,1,6,1,0,1,0,19,ITA,30223b33
35,35,3150,35.0,39,132,95,16,7,12,10,6,5,1,0,19,ITA,339fe0e8
37,37,3330,37.0,59,197,142,10,11,16,10,8,8,0,0,19,ITA,343f753a
9,9,810,9.0,13,38,25,2,2,5,2,1,1,0,0,19,ITA,41bd99ea
9,9,810,9.0,8,27,19,6,1,2,5,1,1,0,0,19,ITA,4c62d0c8
34,34,3015,33.5,40,128,90,8,15,11,8,6,5,1,0,19,ITA,4e7db402
3,2,250,2.8,2,9,7,1,1,0,1,1,1,0,0,19,ITA,514f0896
36,36,3240,36.0,51,147,96,14,7,15,11,8,7,1,0,19,ITA,649b01d8
33,33,2970,33.0,46,149,102,6,14,13,6,6,5,1,0,19,ITA,67f649be
1,1,90,1.0,2,8,7,0,0,1,0,0,0,0,0,19,ITA,71dac2c2
38,38,3420,38.0,33,127,97,20,9,9,17,5,3,0,2,19,ITA,74419746
1,1,90,1.0,3,4,1,0,1,0,0,0,0,0,0,19,ITA,77e401c7
1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,ITA,7b5f516f
2,2,180,2.0,0,2,2,1,1,0,2,0,0,0,0,19,ITA,806f7a26
17,16,1457,16.2,20,62,42,9,4,3,5,1,1,0,0,19,ITA,82b1198a
9,9,810,9.0,7,27,20,6,2,1,4,1,1,0,0,19,ITA,85b011bb
1,1,90,1.0,1,3,2,0,0,1,0,0,0,0,0,19,ITA,85ea4399
36,36,3213,35.7,56,155,98,9,15,12,12,8,4,3,1,19,ITA,8cabdc1e
14,13,1150,12.8,9,48,39,9,1,3,5,2,2,0,0,19,ITA,9413b19f
2,2,164,1.8,4,16,12,1,0,1,0,0,0,0,0,19,ITA,9fa26bc2
29,29,2610,29.0,40,144,105,9,8,12,7,8,8,0,0,19,ITA,a111cf41
