y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp,id
4,0,0,32,16,0,0,0,0,111,86,72,158,18,ENG,8aa5f52c
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8aadeaef
4,1,0,17,9,0,0,0,0,63,12,8,20,18,ENG,8abd0c03
7,2,1,30,21,1,0,0,0,156,152,92,244,18,ENG,8ae9869d
2,0,0,33,20,9,0,0,0,137,12,56,68,18,ENG,8aec0537
6,0,0,32,29,1,0,0,0,180,28,28,56,18,ENG,8b04d6c1
0,0,0,1,0,0,0,0,0,5,2,1,3,18,ENG,8b0d6fe9
0,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG,8b6e0db2
1,0,0,17,27,8,0,0,0,79,14,24,38,18,ENG,8b788c01
0,0,0,0,0,0,0,0,0,2,0,2,2,18,ENG,8b8e759d
1,0,0,10,36,5,1,0,0,101,10,15,25,18,ENG,8b9ebd03
3,0,0,6,5,0,0,0,0,29,6,1,7,18,ENG,8cceca90
2,0,0,16,16,14,0,0,0,29,38,71,109,18,ENG,8d228291
5,0,0,45,41,6,0,1,0,188,119,108,227,18,ENG,8d3c902d
5,0,0,14,29,3,0,0,0,153,113,78,191,18,ENG,8df7a2fb
0,0,0,0,0,0,0,0,0,14,2,0,2,18,ENG,8e65a5e5
1,0,0,1,2,0,0,1,0,53,8,2,10,18,ENG,8f62b6ee
2,0,0,14,7,10,0,0,0,22,14,36,50,18,ENG,8f866fe8
0,0,0,7,2,1,0,0,0,17,32,60,92,18,ENG,8f898ba8
0,0,0,6,5,0,0,1,0,32,21,19,40,18,ENG,90f87966
5,0,0,31,16,0,0,1,1,98,103,45,148,18,ENG,914ab9a1
1,0,0,2,0,0,0,1,0,1,1,0,1,18,ENG,91bdc54a
7,0,0,38,43,3,0,0,0,110,18,34,52,18,ENG,9228b07c
0,0,0,15,26,25,0,0,0,84,2,13,15,18,ENG,92e7e919
9,2,1,32,30,0,0,0,0,209,33,30,63,18,ENG,9306d5ea
0,0,0,1,3,0,0,0,0,38,14,3,17,18,ENG,9328b835
1,0,0,26,14,0,0,1,0,213,25,11,36,18,ENG,935e6b8f
1,0,0,0,6,0,0,0,1,72,14,4,18,18,ENG,939bc634
0,0,0,1,0,0,0,0,0,12,1,5,6,18,ENG,93ee387c
2,0,0,12,10,0,0,0,0,65,16,6,22,18,ENG,94b2001f
5,0,0,24,21,2,0,1,0,85,10,9,19,18,ENG,960acc0a
3,0,0,20,11,3,0,0,0,74,9,12,21,18,ENG,96bb8cc2
0,0,0,5,1,0,0,0,0,17,6,6,12,18,ENG,96e0490d
7,0,0,20,20,0,0,1,0,147,21,19,40,18,ENG,97572117
0,0,0,3,11,4,0,0,0,32,2,15,17,18,ENG,977ffc24
0,0,0,14,21,1,0,0,0,227,17,27,44,18,ENG,980522ec
0,0,0,1,4,0,0,0,0,9,2,4,6,18,ENG,984a5a64
2,0,0,10,14,3,0,0,0,110,36,36,72,18,ENG,987718f5
1,0,0,19,18,16,0,0,0,113,15,58,73,18,ENG,989d5705
2,0,0,14,13,3,0,0,0,90,11,16,27,18,ENG,98be0d02
1,0,0,4,5,1,0,0,0,15,3,4,7,18,ENG,99813635
0,0,0,25,11,9,0,0,0,30,31,66,97,18,ENG,9a104dee
1,0,0,1,0,0,0,0,0,15,0,0,0,18,ENG,9a8c6673
1,0,0,19,18,1,0,0,0,111,31,29,60,18,ENG,9a9c05db
3,0,0,17,11,4,0,0,0,94,13,22,35,18,ENG,9aa186b2
2,0,0,7,9,2,0,0,0,48,7,15,22,18,ENG,9aacb284
6,0,0,15,37,1,0,0,0,101,7,7,14,18,ENG,9c318325
2,0,0,4,8,0,0,0,0,42,17,19,36,18,ENG,9c94165b
0,0,0,7,18,0,0,1,0,214,43,44,87,18,ENG,9d107085
0,0,0,0,0,0,0,0,0,1,0,0,0,18,ENG,9d597f08
0,0,0,0,0,0,0,0,0,6,0,0,0,18,ENG,9dab6e3b
1,0,0,28,28,23,1,0,0,53,29,60,89,18,ENG,9dbb75ca
1,0,0,2,3,0,0,0,0,38,9,10,19,18,ENG,9e525177
0,0,0,0,0,0,0,0,0,9,2,2,4,18,ENG,9e53837d
6,0,0,34,40,14,1,0,0,42,76,112,188,18,ENG,9f472354
1,0,0,10,41,2,0,0,0,101,3,15,18,18,ENG,9f736ed2
0,0,0,1,3,0,0,0,0,5,0,0,0,18,ENG,9fa0a0b8
8,0,0,49,49,0,0,0,0,244,36,59,95,18,ENG,9feb8f24
0,0,0,19,21,1,0,0,0,58,3,14,17,18,ENG,a0666d3e
2,0,0,10,9,0,0,0,1,58,17,8,25,18,ENG,a1232f4e
0,0,0,0,0,0,0,0,0,9,2,0,2,18,ENG,a179d516
3,0,0,21,17,9,0,0,0,52,18,24,42,18,ENG,a1d5bd30
0,0,0,0,0,0,0,0,0,5,1,0,1,18,ENG,a32204c9
0,0,0,3,1,0,0,0,0,1,4,5,9,18,ENG,a36d4785
2,0,0,13,82,16,1,0,0,102,8,19,27,18,ENG,a39bb753
0,0,0,3,0,0,0,0,0,1,0,3,3,18,ENG,a3b03921
0,0,0,5,1,0,0,1,0,17,16,6,22,18,ENG,a440d8ca
3,1,0,25,4,3,0,2,0,96,52,40,92,18,ENG,a498e276
0,0,0,1,0,0,0,0,0,2,0,0,0,18,ENG,a53649b7
0,0,0,1,2,0,0,0,0,15,1,0,1,18,ENG,a634b9d2
8,0,0,27,27,0,1,0,0,196,45,49,94,18,ENG,a65ce836
1,0,0,12,4,0,0,0,1,132,61,37,98,18,ENG,a67a09fb
0,0,0,2,1,0,0,0,0,11,2,2,4,18,ENG,a6951bf8
0,0,0,0,0,0,0,0,0,3,1,0,1,18,ENG,a6de6361
3,0,0,8,11,0,0,0,0,74,27,18,45,18,ENG,a6e316c1
2,0,0,18,13,0,0,0,0,97,19,22,41,18,ENG,a9142dc3
1,0,0,1,2,0,0,0,0,6,2,2,4,18,ENG,aa51343f
1,0,0,28,16,6,1,0,0,65,126,142,268,18,ENG,aa5859cb
0,0,0,7,7,1,0,0,0,39,5,14,19,18,ENG,aa8e289e
6,0,0,48,27,12,2,0,0,50,236,179,415,18,ENG,ab070c55
3,0,0,19,18,4,0,0,0,126,4,15,19,18,ENG,ab651565
0,0,0,1,1,0,0,0,0,17,0,2,2,18,ENG,ab7263c1
4,0,0,24,16,3,1,0,0,49,6,13,19,18,ENG,abe66106
