id,Player,Nation
10fe831e,Murilo Cerqueira,Brazil
110338ae,Boy Waterman,Netherlands
110a95ca,Denis Scherbitskiy,Belarus
111c3236,Fabian Delph,England
1124ac8a,Osaze Urhoghide,England
112521d1,Pedrosa,Spain
112c495e,Dimitris Giannoulis,Greece
1137759d,Sergi Canós,Spain
113fb4ea,Andrés Prieto,Spain
1144d8d7,Denys Bezborodko,Ukraine
1148323a,Eldin Jakupović,Switzerland
114b510e,Leonardo Koutris,Greece
114bbdee,Loïc Bade,France
1151fb6e,Kelvin Ofori,Ghana
115b7ab9,Maksym Malyshev,Ukraine
1163de29,Samuele Longo,Italy
117beb8f,Giancarlo González,Costa Rica
118b60ce,Daniil Odoevski,Russia
11962fe7,Wajdi Kechrida,Tunisia
119b9a8e,Aymeric Laporte,Spain
11a1a615,Shir Tzedek,Israel
11b4f41a,Sean Murray,Republic of Ireland
11b9265b,Alberto Moreno,Spain
11bc43f4,Jimmy Kaparos,Germany
11c0fa9d,Artem Besyedin,Ukraine
11c30a46,Carles Gil,Spain
11c7fa75,Guillaume Faivre,Switzerland
11ced928,Yaya Sanogo,France
11d8aff0,Josep Martinez,Spain
11dbba47,Marcel Heller,Germany
11e0904f,Luis Rojas,Chile
11e5e469,Ivanildo Fernandes,Portugal
11f54bd5,Siriki Dembélé,Ivory Coast
11f5df14,Filip Nguyen,Czech Republic
11fd2b75,Omar Mascarell,Spain
11ff3d56,Ibrahima Diallo,France
120c594d,Denis Terentyev,Russia
121101a4,Dino Perić,Croatia
1214f0a6,Alberto Redondo,Spain
1232e1dc,Joris Gnagnon,France
1238a3f9,Davie Selke,Germany
123dd5e2,Erling Knudtzon,Norway
1250086e,David García,Spain
1251f42e,Danijel Milićević,Bosnia and Herzegovina
1253a12e,Ervin Zukanović,Bosnia and Herzegovina
125cb9fe,Lamine Sané,Senegal
126568a4,Mikael Tørset Johnsen,Norway
1265a93a,Reece James,England
126cf855,Anto Grgić,Switzerland
12806697,Isak Hien,Sweden
1281be1c,Valeriy Bondarenko,Ukraine
12851227,Lorenzo Dickmann,Italy
12947ab7,Eli Dasa,Israel
1295552e,Mert Müldür,Turkey
1295b5e3,David Pavelka,Czech Republic
129af0db,Álvaro Morata,Spain
129dd8e7,Aleksandar Jovanović,Serbia
12a875ce,Eloi Amagat,Spain
12aa7661,José Holebas,Greece
12bd0579,Nelson Sissoko,France
12c35abe,Jens Petter Hauge,Norway
12c50af5,Denis Suárez,Spain
12dcbdcc,Ricardo Esgaio,Portugal
12e6d21a,Jean-Pierre Nsame,Cameroon
12e7ac0a,Nikita Rukavytsya,Australia
12eda7be,Miguel Atienza,Spain
130a7a3f,Samu Castillejo,Spain
13203c45,Jérôme Roussillon,France
1321d6f0,Egor Filipenko,Belarus
132a82f1,Wesley Fofana,France
132ac341,Aridane Hernández,Equatorial Guinea
132bb875,Mauro Goicoechea,Uruguay
132f161f,Vakoun Issouf Bayo,Ivory Coast
1338e42b,Gilberto,Brazil
1339039e,Liel Abada,Israel
133faa84,Marcão,Brazil
134832c6,Adnan Džafić,Bosnia and Herzegovina
1361e5bc,Cheick Konaté,Ivory Coast
136958ad,Kevin Kelsy,Venezuela
136e7649,Matt Macey,England
1381e699,Serhiy Malyi,Kazakhstan
1394bf42,Bright Arrey-Mbi,Germany
139560df,Omar El Hilali,Morocco
1395682c,Paulo Vinícius,Brazil
13a78e01,Ivan Maewski,Belarus
13ac19de,Manuel Fernandes,Portugal
13b0c150,Daniele Bonera,Italy
13b44b02,Petar Stojanović,Slovenia
13c44fc5,Jorge,Brazil
13c8e5f6,Kiril Despodov,Bulgaria
13d23b29,Antonios Papadopoulos,Germany
13d74bff,Ole Jørgen Halvorsen,Norway
13d820de,Marco Andreolli,Italy
13ddc856,Takuma Asano,Japan
13e0eb29,Samuel Sáiz,Spain
13ea2544,Mohamed Camara,Guinea
13f89eaa,Daniele Gastaldello,Italy
13fe7b69,Jamie Leweling,Germany
140afefb,Marcel Risse,Germany
141b0bd2,Daniel Sundgren,Sweden
14229604,Axel Mohamed Bakayoko,France
1432d037,Jakub Řezníček,Czech Republic
14349aeb,Robert Murić,Croatia
1443ca7d,Aleksandar Borković,Austria
144607cc,Jasmin Kurtić,Slovenia
1453e3cf,Yunus Akgün,Turkey
1467af0d,Marco Verratti,Italy
1469d291,Yusuf Erdoğan,Turkey
146b19d9,Aleksandar Šćekić,Montenegro
146f2615,Vladimir Jovović,Montenegro
146f71c9,Ibrahim Rabiu,Nigeria
14866457,Samed Onur,Turkey
148af9a8,Antonio Marin,Croatia
148d4105,Mathieu Flamini,France
148e136f,Rémy Cabella,France
149895bf,Garry Rodrigues,Cape Verde
149c5f5d,Giuseppe Pezzella,Italy
14a04bea,Ramil Sheydayev,Azerbaijan
14a4dd0d,Plamen Galabov,Bulgaria
14a7af33,Christian Groß,Germany
14a96e1c,Niki Mäenpää,Finland
14b8fcdf,Daniele Rugani,Italy
14d2670e,Amadou Mbengue,Senegal
14d5b7ac,Alejandro Revuelta Montero,Spain
14df1d7f,William Mikelbrencis,France
